"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc"
"html-keyboard-response","13","32910","0.0-3.0-1.0-1.0-0.3","3","1","4kw6cl76hatyejp","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","14","36792","0.0-3.0-1.0-1.0-1.3","3","1","4kw6cl76hatyejp","","3883","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","15","37545","0.0-3.0-1.0-1.0-0.4","3","1","4kw6cl76hatyejp","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","16","41581","0.0-3.0-1.0-1.0-1.4","3","1","4kw6cl76hatyejp","","4035","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","17","42333","0.0-3.0-1.0-1.0-0.5","3","1","4kw6cl76hatyejp","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","18","45920","0.0-3.0-1.0-1.0-1.5","3","1","4kw6cl76hatyejp","","3587","","audCalib/t1_2.mp3","0","","0","1","headphone-test","","","","","","","","","","","","",""
"html-button-response","19","47522","0.0-3.0-2.0","3","1","4kw6cl76hatyejp","","1352","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","",""
"instructions","20","50971","0.0-4.0-0.0","3","1","4kw6cl76hatyejp","[{""page_index"":0,""viewing_time"":775},{""page_index"":1,""viewing_time"":1283},{""page_index"":2,""viewing_time"":1390}]","3448","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","51271","0.0-4.0-1.0-0.0","3","1","4kw6cl76hatyejp","","null","","sounds/induction/right/fe_SWS.wav","","null","","","","","","","","","","","","","","","",""
"html-button-response","22","52212","0.0-4.0-1.0-1.0","3","1","4kw6cl76hatyejp","","939","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","",""
"html-keyboard-response","23","53213","0.0-4.0-1.0-2.0","3","1","4kw6cl76hatyejp","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","54015","0.0-4.0-1.0-0.1","3","1","4kw6cl76hatyejp","","null","","sounds/induction/right/pu_SWS.wav","","null","","","","","","","","","","","","","","","",""
"html-button-response","25","55325","0.0-4.0-1.0-1.1","3","1","4kw6cl76hatyejp","","1309","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","",""
